OBJECTID,Zoning,MPC Case Number,Ordinance,Effective Date,District Name,I440 Impact Zone,UDO Subdisrict,GlobalID
118,Neighborhood Conservation,2012NHC-001-001,BL2012-134,5/21/2012 5:00:00 AM,Belmont-Hillsboro ,,,37ecb175-38bb-4951-9dfa-9735f977ef8f
119,I-440 Impact,,O84-532,12/19/1984 6:00:00 AM,,I1, ,93e49ad3-8998-4c0f-a534-35ee50983a48
120,I-440 Impact,,O84-532,12/19/1984 6:00:00 AM,,J1, ,192267b5-54e3-47cc-822c-2b4af2e95fa2
121,I-440 Impact,,O84-532,12/19/1984 6:00:00 AM,,L1, ,f3689d69-dde9-4a35-91b4-95423f47f7eb
122,Neighborhood Landmark,2012NL-001-003,BL2020-399,9/18/2020 5:00:00 AM,609 and 611 Wedgewood Ave,,,625757b0-cfe4-42e8-ab41-5c13ab8b4ba7
123,Historic Preservation Landmark,2012HL-001-001,BL2012-263,11/29/2012 6:00:00 AM,Fehr Elementary School,,,3a091d48-4b86-483b-859b-5f0be0455d17
124,Urban Design Overlay,2003UD-003-003,BL2016-325,9/30/2016 5:00:00 AM,Ridgeview Amendment,,,841d780c-6d02-4a35-aede-1cbe3002a66b
125,Neighborhood Landmark,2012NL-002-001,BL2012-327,1/21/2013 6:00:00 AM,The ICM Foundation,,,5bcce3d5-68c3-40fb-b77a-928f453e41aa
126,Urban Design Overlay,2005UD-007G-10,BL2005-703,8/6/2005 5:00:00 AM,Lenox Village,,,a2f23af8-a274-4808-a496-7289e8c08605
127,Urban Design Overlay,2013UD-001-001,BL2013-375,4/12/2013 5:00:00 AM,Murfreesboro Pike/Pin Hook Road,,,68eaeed0-cfd5-4856-81ac-13c2b65c2e3b
128,Neighborhood Conservation,2013NHC-001-002,BL2013-370,5/17/2013 5:00:00 AM,Salemtown,,,a3de5d51-fb13-461e-a38f-9c8f2d94457d
129,Historic Preservation Landmark,2013HL-001-001,BL2013-468,7/26/2013 5:00:00 AM,305 Kent Road,,,cce3a3f6-d6cc-49e9-8dec-58ac25efb66b
130,Urban Design Overlay,2013UD-002-001,BL2013-489,8/30/2013 5:00:00 AM,Murfreesboro Pike,,,339d367f-5a1a-4ece-9e0c-9bf46ab4c4d6
131,Neighborhood Conservation,2013NHC-002-001,BL2013-586,2/7/2014 6:00:00 AM,Eastwood,,,a8213c4f-2ce7-4e6a-98d6-ffe1d7224b6a
132,Neighborhood Conservation,2014NHC-001-001,BL2014-634,2/19/2014 6:00:00 AM,Hillsboro-West End,,,a7f7d04b-a13e-4bf5-829b-c341381f22bb
